"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent","participants_original","country_iso","city","nace_code","entity_type","employees_last_value","total_assets_eur","total_assets_usd","n_companies_group","n_shareholders","n_subsidiaries","roa","rd_ratio","export_ratio","export_revenue","long_term_debt","is_guo","is_controlled_sub","size_classification","orbis_match_type","participants_std","assignee","total_applications","granted_patents","avg_ipc_scope","avg_team_size","grant_success_rate","total_ipc_mentions","tech_specialist_hhi","patent_match_type"
"InRoom Broadcasting Network","3571","2012-09-17",NA,"Pvd digital content svcs","United States","CHINA COMSERVICE JIANGSU CORP/INROOM BROADCASTING NETWORK LLC-STRATEGIC~ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2454551045,"United States","Americas","InRoom Broadcasting Network","US","WILMINGTON",6020,"Single location",2,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Medium sized company","matched","INROOM BROADCASTING NETWORK",NA,0,0,0,0,0,0,0,"unmatched"
"Etihad Etisalat Co SJSC","4812","2012-09-19",NA,"Provide wireless telecommunications services","Saudi Arabia","ETIHAD ETISALAT CO/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE",7382,"Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2451959045,"Saudi Arabia","Asia","Etihad Etisalat Co SJSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","ETIHAD ETISALATSJSC",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2012-09-19",NA,"Manufacture computer products","United States","ETIHAD ETISALAT CO/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE",7382,"Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2451959045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Humana Inc","6324","2013-01-05",NA,"Provides health plan administration services","United States","HUMANA INC/FITBIT INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3343035045,"United States","Americas","Humana Inc","US","LOUISVILLE",6511,"GUO",65680,44738685.6670301,46479000,598,1128,447,2.612,NA,NA,NA,NA,1,0,"Very large company","matched","HUMANA","HUMANA INC.",96,96,1.29166666666667,3.05208333333333,1,124,0.371488033298647,"exact"
"Fitbit Inc","3571","2013-01-05",NA,"Electronic Computer Manufacturing","United States","HUMANA INC/FITBIT INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3343035045,"United States","Americas","Fitbit Inc","US","WILMINGTON",2651,"Controlled subs.",1684,1217808.59725623,1368086,605,3,8,-23.442,20.934,NA,NA,0,0,1,"Very large company","matched","FITBIT","FITBIT, LLC",509,510,1.42745098039216,4.42745098039216,1.00196463654224,728,0.340093285835044,"exact"
"Agilysys Inc","7376","2013-01-08",NA,"Pvd information tech svcs","United States","AGILYSYS INC/MOTION COMPUTING INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,2485113045,"United States","Americas","Agilysys Inc","US","ALPHARETTA",4652,"GUO",2200,401636.728790358,434370,29,90,28,5.347,22.644,NA,NA,22191.4070745415,1,0,"Very large company","matched","AGILYSYS",NA,0,0,0,0,0,0,0,"unmatched"
"Motion Computing Inc","3571","2013-01-08",NA,"Mnfr computers","United States","AGILYSYS INC/MOTION COMPUTING INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,2485113045,"United States","Americas","Motion Computing Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","MOTION COMPUTING","MOTION COMPUTING, INC.",33,33,1.06060606060606,2.33333333333333,1,35,0.422040816326531,"exact"
"Grupo Financiero Banorte SAB","6000","2013-03-12",NA,"Pvd commercial banking svcs","Mexico","GRUPO FINANCIERO BANORTE SAB DE CV/INTERNATIONAL BUSINESS MACHINES CORP~{IBM}-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2504378045,"Mexico","Americas","Grupo Financiero Banorte SAB","MX","MONTERREY",6420,"GUO",NA,117359592.712196,121924826.989051,25,145,28,2.274,NA,NA,NA,NA,1,0,"Very large company","matched","GRUPO FINANCIERO BANORTE SAB",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2013-03-12",NA,"Manufacture computer products","United States","GRUPO FINANCIERO BANORTE SAB DE CV/INTERNATIONAL BUSINESS MACHINES CORP~{IBM}-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2504378045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Compuware Corp","7372","2013-03-12",NA,"Develop application software","United States","COMPUWARE CORP/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,2504092045,"United States","Americas","Compuware Corp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","COMPUWARE ","COMPUWARE CORPORATION",62,62,1,2.7258064516129,1,62,0.937565036420396,"exact"
"IBM Corp","3571","2013-03-12",NA,"Manufacture computer products","United States","COMPUWARE CORP/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,2504092045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Dell Inc","3571","2013-06-04",NA,"Manufacture,wholesale computer","United States","DELL INC/ORACLE CORP-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2527721045,"United States","Americas","Dell Inc","US","ROUND ROCK",2620,"Controlled subs.",111300,35084870.3548407,47540000,715,1,311,4.989,1.883,NA,NA,3868634.63189052,0,1,"Very large company","matched","DELL","DELL INC.",5,5,1.2,3,1,6,0.555555555555556,"exact"
"Oracle Corp","7372","2013-06-04",NA,"Develop enterprise software","United States","DELL INC/ORACLE CORP-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2527721045,"United States","Americas","Oracle Corp","US","AUSTIN",5829,"GUO",162000,148479593.278358,168361000,739,3976,414,7.391,17.178,NA,NA,77605613.9469095,1,0,"Very large company","matched","ORACLE ","ORACLE CORPORATION",304,304,1.00657894736842,2.78289473684211,1,306,0.912405485069845,"exact"
"Rogue Wave Software Inc","7372","2013-07-17",NA,"Dvlp object-oriented software","United States","ROGUE WAVE SOFTWARE INC/CRAY INC-STRATEGIC ALLIANCE",5045,"Supranational","Completed/Signed","Strategic Alliance",NA,2590373045,"United States","Americas","Rogue Wave Software Inc","US","BOULDER",5829,"Controlled subs.",104,34927.0233385243,40698,576,2,6,3.806,18.941,NA,NA,0,0,1,"Large company","matched","ROGUE WAVE SOFTWARE","ROGUE WAVE SOFTWARE, INC.",3,3,1,6,1,3,1,"exact"
"Cray Inc","3571","2013-07-17",NA,"Manufactures and wholesales computer systems and supercomputers","United States","ROGUE WAVE SOFTWARE INC/CRAY INC-STRATEGIC ALLIANCE",5045,"Supranational","Completed/Signed","Strategic Alliance",NA,2590373045,"United States","Americas","Cray Inc","US","SEATTLE",2620,"Controlled subs.",1287,451643.440536198,517132,377,1,23,-13.861,25.26,NA,NA,0,0,1,"Very large company","matched","CRAY","CRAY HK LIMITED",1,1,2,5,1,2,0.5,"exact"
"Cray Inc","3571","2013-07-17",NA,"Manufactures and wholesales computer systems and supercomputers","United States","ROGUE WAVE SOFTWARE INC/CRAY INC-STRATEGIC ALLIANCE",5045,"Supranational","Completed/Signed","Strategic Alliance",NA,2590373045,"United States","Americas","Cray Inc","US","SEATTLE",2620,"Controlled subs.",1287,451643.440536198,517132,377,1,23,-13.861,25.26,NA,NA,0,0,1,"Very large company","matched","CRAY","CRAY INC.",208,208,1.11057692307692,2.90384615384615,1,231,0.476808905380334,"exact"
"Hewlett Packard Co","3571","2013-07-22",NA,"Mnfr,whl computer equipment","United States","HEWLETT-PACKARD CO/LIQVID ELEARNING SERVICES PVT LTD-STRATEGIC ALLIANCE",7375,"India","Completed/Signed","Strategic Alliance",NA,2589974045,"United States","Americas","Hewlett Packard Co",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","HEWLETT PACKARD ",NA,0,0,0,0,0,0,0,"unmatched"
"Liqvid eLearning","7375","2013-07-22",NA,"Internet Service Providers","India","HEWLETT-PACKARD CO/LIQVID ELEARNING SERVICES PVT LTD-STRATEGIC ALLIANCE",7375,"India","Completed/Signed","Strategic Alliance",NA,2589974045,"India","Asia","Liqvid eLearning","IN","NEW DELHI",9601,"Controlled subs.",NA,3122.62096650915,3375.86474190187,4,5,2,5.662,NA,NA,NA,1380.21091512276,0,1,"Medium sized company","matched","LIQVID ELEARNING",NA,0,0,0,0,0,0,0,"unmatched"
"Bank of the Philippine Islands","6000","2013-08-02",NA,"Bank","Philippines","BANK OF THE PHILIPPINE ISLANDS{BPI}/INTERNATIONAL BUSINESS MACHINES~CORP{IBM}-STRATEGIC ALLIANCE",7371,"Philippines","Completed/Signed","Strategic Alliance",NA,2552885045,"Philippines","Asia","Bank of the Philippine Islands","PH","MAKATI CITY",6419,"GUO",22062,55065096.5290106,57207103.5036687,29,9,30,1.875,NA,NA,NA,NA,1,0,"Very large company","matched","BANK OF THE PHILIPPINE ISLANDS",NA,0,0,0,0,0,0,0,"unmatched"
