"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent","participants_original","country_iso","city","nace_code","entity_type","employees_last_value","total_assets_eur","total_assets_usd","n_companies_group","n_shareholders","n_subsidiaries","roa","rd_ratio","export_ratio","export_revenue","long_term_debt","is_guo","is_controlled_sub","size_classification","orbis_match_type","participants_std","assignee","total_applications","granted_patents","avg_ipc_scope","avg_team_size","grant_success_rate","total_ipc_mentions","tech_specialist_hhi","patent_match_type"
"Apple Inc","3571","2018-05-04",NA,"Electronic Computer Manufacturing","United States","APPLE INC/RELIANCE JIO INFOCOMM LTD/BHARTI AIRTEL LTD-STRATEGIC ALLIANCE",8742,"India","Completed/Signed","Strategic Alliance",NA,3364211045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"Reliance Jio Infocomm Ltd","4812","2018-05-04",NA,"Wired Telecommunications Carriers","India","APPLE INC/RELIANCE JIO INFOCOMM LTD/BHARTI AIRTEL LTD-STRATEGIC ALLIANCE",8742,"India","Completed/Signed","Strategic Alliance",NA,3364211045,"India","Asia","Reliance Jio Infocomm Ltd","IN","AHMEDABAD",6120,"Controlled subs.",NA,54464223.7197888,58881258.5717812,428,5,0,4.198,NA,NA,NA,18253518.4520226,0,1,"Very large company","matched","RELIANCE JIO INFOCOMM","RELIANCE JIO INFOCOMM LIMITED",39,39,1.23076923076923,3.56410256410256,1,48,0.670138888888889,"exact"
"Bharti Airtel Ltd","4813","2018-05-04",NA,"Telecommunications Resellers","India","APPLE INC/RELIANCE JIO INFOCOMM LTD/BHARTI AIRTEL LTD-STRATEGIC ALLIANCE",8742,"India","Completed/Signed","Strategic Alliance",NA,3364211045,"India","Asia","Bharti Airtel Ltd","IN","GURUGRAM",6190,"GUO",20310,55572730.1720224,60101890.774589,181,127,179,6.524,0,NA,NA,17344467.2415731,1,0,"Very large company","matched","BHARTI AIRTEL","BHARTI AIRTEL LIMITED",1,1,1,3,1,1,1,"exact"
"GrandPAD Inc","3571","2018-05-21",NA,"Electronic Computer Manufacturing","United States","GRANDPAD INC/CONSUMER CELLULAR INC-STRATEGIC ALLIANCE",4812,"United States","Completed/Signed","Strategic Alliance",NA,3364489045,"United States","Americas","GrandPAD Inc","US","HOPKINS",9412,"Single location",10,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Large company","matched","GRANDPAD","GRANDPAD, INC.",1,1,1,5,1,1,1,"exact"
"Consumer Cellular Inc","4812","2018-05-21",NA,"Wireless Telecommunications Carriers (Except Satellite)","United States","GRANDPAD INC/CONSUMER CELLULAR INC-STRATEGIC ALLIANCE",4812,"United States","Completed/Signed","Strategic Alliance",NA,3364489045,"United States","Americas","Consumer Cellular Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","CONSUMER CELLULAR",NA,0,0,0,0,0,0,0,"unmatched"
"Materialise NV","7372","2018-05-23",NA,"Software Publishers","Belgium","MATERIALISE NV/HP INC-STRATEGIC ALLIANCE",3999,"Belgium","Completed/Signed","Strategic Alliance",NA,3363942045,"Belgium","Europe","Materialise NV","BE","HEVERLEE",5829,"Controlled subs.",2514,396336,411753.288442612,34,9,31,3.39,15.562,NA,NA,28287,0,1,"Very large company","matched","MATERIALISE","MATERIALISE N.V.",85,85,1.57647058823529,2.4,1,134,0.310982401425707,"exact"
"HP Inc","3571","2018-05-23",NA,"Electronic Computer Manufacturing","United States","MATERIALISE NV/HP INC-STRATEGIC ALLIANCE",3999,"Belgium","Completed/Signed","Strategic Alliance",NA,3363942045,"United States","Americas","HP Inc","US","PALO ALTO",2620,"GUO",58000,36151111.5848942,41769000,540,1355,445,6.055,2.897,NA,NA,7634584.38771222,1,0,"Very large company","matched","HP","HP INC.",1,1,1,1,1,1,1,"exact"
"Avitru LLC","3571","2018-06-19",NA,"Electronic Computer Manufacturing","United States","AVITRU, LLC/ANGULERIS TECHNOLOGIES LLC-STRATEGIC ALLIANCE",3999,"United States","Completed/Signed","Strategic Alliance",NA,3357438045,"United States","Americas","Avitru LLC","US","SALT LAKE CITY",7490,"Single location",18,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Large company","matched","AVITRU",NA,0,0,0,0,0,0,0,"unmatched"
"Anguleris Technologies LLC","5032","2018-06-19",NA,"Other Building Material Dealers","United States","AVITRU, LLC/ANGULERIS TECHNOLOGIES LLC-STRATEGIC ALLIANCE",3999,"United States","Completed/Signed","Strategic Alliance",NA,3357438045,"United States","Americas","Anguleris Technologies LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","ANGULERIS TECHNOLOGY","ANGULERIS TECHNOLOGIES, LLC",5,5,1.4,1.6,1,7,0.551020408163265,"exact"
"Commvault Systems Inc","7372","2018-06-26",NA,"Software Publishers","United States","COMMVAULT SYSTEMS INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3356394045,"United States","Americas","Commvault Systems Inc","US","TINTON FALLS",5829,"GUO",3300,1033995.6676508,1118266,35,215,35,6.806,14.693,NA,NA,0,1,0,"Very large company","matched","COMMVAULT SYSTEM","COMMVAULT SYSTEMS, INC.",1304,1306,1.2197549770291,3.29326186830015,1.00153374233129,1593,0.688125505142752,"exact"
"IBM Corp","3571","2018-06-26",NA,"Manufacture computer products","United States","COMMVAULT SYSTEMS INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3356394045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Xplore Technologies Corp","3571","2018-06-27",NA,"Mnfr mobile computing systems","United States","XPLORE TECHNOLOGIES CORP/UNITED RADIO INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3333261045,"United States","Americas","Xplore Technologies Corp","US","AUSTIN",2620,"Controlled subs.",NA,51601.3056825195,63578,135,2,5,0.472,3.862,NA,NA,0,0,1,"Large company","matched","XPLORE TECHNOLOGY ","XPLORE TECHNOLOGIES CORP.",12,12,1.41666666666667,2.5,1,17,0.439446366782007,"exact"
"United Radio Inc","7629","2018-06-27",NA,"Pvd electronic services","United States","XPLORE TECHNOLOGIES CORP/UNITED RADIO INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3333261045,"United States","Americas","United Radio Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","UNITED RADIO","UNITED RADIO, INC.",3,3,1.66666666666667,1,1,5,0.36,"exact"
"Vector Media Group","3571","2018-06-28",NA,"Electronic Computer Manufacturing","United States","VECTOR MEDIA GROUP/INFLUENTIAL-STRATEGIC ALLIANCE",3571,"","Completed/Signed","Strategic Alliance",NA,3358532045,"United States","Americas","Vector Media Group","US","NEW YORK",6201,"GUO",12,NA,NA,7,4,6,NA,NA,NA,NA,NA,1,0,"Medium sized company","matched","VECTOR MEDIA GROUP",NA,0,0,0,0,0,0,0,"unmatched"
"Influential","7371","2018-06-28",NA,"Custom Computer Programming Services","United States","VECTOR MEDIA GROUP/INFLUENTIAL-STRATEGIC ALLIANCE",3571,"","Completed/Signed","Strategic Alliance",NA,3358532045,"United States","Americas","Influential","US","LAS VEGAS",7490,"Single location",60,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Large company","matched","INFLUENTIAL",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2018-07-05",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS/UNDISCLOSED PARTNER-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3351971045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Apple Inc","3571","2018-07-05",NA,"Electronic Computer Manufacturing","United States","APPLE INC/PIXAR INC-STRATEGIC ALLIANCE",4841,"","Completed/Signed","Strategic Alliance",NA,3355031045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"Pixar Inc","7812","2018-07-05",NA,"Dvlp digital graphics","United States","APPLE INC/PIXAR INC-STRATEGIC ALLIANCE",4841,"","Completed/Signed","Strategic Alliance",NA,3355031045,"United States","Americas","Pixar Inc","US","MERCED",9321,"Controlled subs.",NA,NA,NA,2282,2,0,NA,NA,NA,NA,NA,0,1,"Small company","matched","PIXAR","PIXAR",332,332,1.04518072289157,2.48795180722892,1,347,0.832055743341445,"exact"
"Riyadh Municipality","999C","2018-07-11",NA,"State government","Saudi Arabia","RIYADH MUNICIPALITY/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3367472045,"Saudi Arabia","Asia","Riyadh Municipality","SA","RIYADH (AL)",NA,"Single location",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Small company","matched","RIYADH MUNICIPALITY",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2018-07-11",NA,"Manufacture computer products","United States","RIYADH MUNICIPALITY/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3367472045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Avitru LLC","3571","2018-07-12",NA,"Electronic Computer Manufacturing","United States","AVITRU, LLC/NEWFORMA INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3357439045,"United States","Americas","Avitru LLC","US","SALT LAKE CITY",7490,"Single location",18,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Large company","matched","AVITRU",NA,0,0,0,0,0,0,0,"unmatched"
"Newforma Inc","7372","2018-07-12",NA,"Software Publishers","United States","AVITRU, LLC/NEWFORMA INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3357439045,"United States","Americas","Newforma Inc","US","MANCHESTER",6619,"Controlled subs.",110,NA,NA,9,1,5,NA,NA,NA,NA,NA,0,1,"Large company","matched","NEWFORMA",NA,0,0,0,0,0,0,0,"unmatched"
"August House Inc","7622","2018-07-17",NA,"Consumer Electronics Repair and Maintenance","United States","AUGUST HOUSE INC/APPLE INC-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,3352860045,"United States","Americas","August House Inc","US","ATLANTA",NA,"Controlled subs.",2,NA,NA,2,1,0,NA,NA,NA,NA,NA,0,1,"Medium sized company","matched","AUGUST HOUSE",NA,0,0,0,0,0,0,0,"unmatched"
"Apple Inc","3571","2018-07-17",NA,"Electronic Computer Manufacturing","United States","AUGUST HOUSE INC/APPLE INC-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,3352860045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"Quanta Cloud Tech Inc","7374","2018-07-25",NA,"Data Processing, Hosting, and Related Services","United States","QUANTA CLOUD TECHNOLOGY INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3353036045,"United States","Americas","Quanta Cloud Tech Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","QUANTA CLOUD TECH",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2018-07-25",NA,"Manufacture computer products","United States","QUANTA CLOUD TECHNOLOGY INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3353036045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"IBM Corp","3571","2018-07-26",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS/ANTHEM INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3367380045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Anthem Inc","6324","2018-07-26",NA,"Direct Health and Medical Insurance Carriers","United States","INTERNATIONAL BUSINESS/ANTHEM INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3367380045,"United States","Americas","Anthem Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","ANTHEM",NA,0,0,0,0,0,0,0,"unmatched"
"REALTECH AG","7372","2018-08-14",NA,"Develop prepackaged software","Germany","REALTECH AG/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",6289,"","Completed/Signed","Strategic Alliance",NA,3349656045,"Germany","Europe","REALTECH AG","DE","LEIMEN",6209,"GUO",69,8286,8608.32159590721,2,7,1,2.028,0,NA,NA,87,1,0,"Very large company","matched","REALTECH",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2018-08-14",NA,"Manufacture computer products","United States","REALTECH AG/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",6289,"","Completed/Signed","Strategic Alliance",NA,3349656045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"NBA","7941","2018-09-05",NA,"Provide sports league services","United States","NATIONAL BASKETBALL ASSOCIATION INC/APPLE INC-STRATEGIC ALLIANCE",7371,"United States","Completed/Signed","Strategic Alliance",NA,3347418045,"United States","Americas","NBA","US","SECAUCUS",9312,"Single location",90,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Large company","matched","NBA",NA,0,0,0,0,0,0,0,"unmatched"
"Apple Inc","3571","2018-09-05",NA,"Electronic Computer Manufacturing","United States","NATIONAL BASKETBALL ASSOCIATION INC/APPLE INC-STRATEGIC ALLIANCE",7371,"United States","Completed/Signed","Strategic Alliance",NA,3347418045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"HP Inc","3571","2018-09-14",NA,"Electronic Computer Manufacturing","United States","HP INC/GO 4-D INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3343749045,"United States","Americas","HP Inc","US","PALO ALTO",2620,"GUO",58000,36151111.5848942,41769000,540,1355,445,6.055,2.897,NA,NA,7634584.38771222,1,0,"Very large company","matched","HP","HP INC.",1,1,1,1,1,1,1,"exact"
"Go 4-D Inc","8099","2018-09-14",NA,"All Other Miscellaneous Ambulatory Health Care Services","Canada","HP INC/GO 4-D INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3343749045,"Canada","Americas","Go 4-D Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","GO 4-D",NA,0,0,0,0,0,0,0,"unmatched"
"Apple Inc","3571","2018-09-24",NA,"Electronic Computer Manufacturing","United States","APPLE INC/SALESFORCE.COM INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3342048045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"Salesforce.com Inc","7372","2018-09-24",NA,"Provides software integrated services","United States","APPLE INC/SALESFORCE.COM INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3342048045,"United States","Americas","Salesforce.com Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","SALESFORCE.COM","SALESFORCE.COM, INC.",3153,3157,1.25213810579664,3.24200190053849,1.00126863304789,3953,0.586741864261511,"exact"
"Apple Inc","3571","2018-10-08",NA,"Electronic Computer Manufacturing","United States","APPLE INC/BROADBANDTV CORP-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,3339999045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"BBTV","7375","2018-10-08",NA,"Pvd online TV,video svcs","Canada","APPLE INC/BROADBANDTV CORP-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,3339999045,"Canada","Americas","BBTV","CA","VANCOUVER, BRITISH COLUMBIA",6209,"Single location",NA,136421.97913177,145507.613129139,0,0,0,-99.668,1.302,NA,NA,32733.5831888669,0,0,"Very large company","matched","BBTV",NA,0,0,0,0,0,0,0,"unmatched"
"Dell Inc","3571","2018-10-10",NA,"Manufactures and wholesales computers","United States","DELL INC/ALLIANCE DATA SYSTEMS CORP-STRATEGIC ALLIANCE",8742,"United States","Completed/Signed","Strategic Alliance",NA,3341448045,"United States","Americas","Dell Inc","US","ROUND ROCK",2620,"Controlled subs.",111300,35084870.3548407,47540000,715,1,311,4.989,1.883,NA,NA,3868634.63189052,0,1,"Very large company","matched","DELL","DELL INC.",5,5,1.2,3,1,6,0.555555555555556,"exact"
"Alliance Data Systems Corp","7389","2018-10-10",NA,"Provides loyalty and marketing campaign services","United States","DELL INC/ALLIANCE DATA SYSTEMS CORP-STRATEGIC ALLIANCE",8742,"United States","Completed/Signed","Strategic Alliance",NA,3341448045,"United States","Americas","Alliance Data Systems Corp","US","COLUMBUS",7490,"GUO",6000,22033891.7275326,22891000,74,121,67,1.21,NA,NA,NA,2256233.55071147,1,0,"Very large company","matched","ALLIANCE DATA SYSTEM ","ALLIANCE DATA SYSTEMS CORPORATION",1,1,1,3,1,1,1,"exact"
"Dialog Semiconductor PLC","3674","2018-10-11",NA,"Semiconductor and Related Device Manufacturing","United Kingdom","DIALOG SEMICONDUCTOR PLC/APPLE INC-STRATEGIC ALLIANCE",6794,"United Kingdom","Completed/Signed","Strategic Alliance",NA,3339995045,"United Kingdom","Europe","Dialog Semiconductor PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","DIALOG SEMICONDUCTOR","DIALOG SEMICONDUCTOR B.V.",97,100,1.26,1.8,1.03092783505155,126,0.529856386999244,"exact"
"Dialog Semiconductor PLC","3674","2018-10-11",NA,"Semiconductor and Related Device Manufacturing","United Kingdom","DIALOG SEMICONDUCTOR PLC/APPLE INC-STRATEGIC ALLIANCE",6794,"United Kingdom","Completed/Signed","Strategic Alliance",NA,3339995045,"United Kingdom","Europe","Dialog Semiconductor PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","DIALOG SEMICONDUCTOR","DIALOG SEMICONDUCTOR INC.",511,515,1.1495145631068,2.35145631067961,1.00782778864971,592,0.564428871439007,"exact"
"Apple Inc","3571","2018-10-11",NA,"Electronic Computer Manufacturing","United States","DIALOG SEMICONDUCTOR PLC/APPLE INC-STRATEGIC ALLIANCE",6794,"United Kingdom","Completed/Signed","Strategic Alliance",NA,3339995045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"Software AG","7372","2018-10-13",NA,"Pvd software development svcs","Germany","SOFTWARE AG/DELL TECHNOLOGIES INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3341796045,"Germany","Europe","Software AG","DE","DARMSTADT HESSE",NA,"GUO",NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,1,0,"Small company","matched","SOFTWARE","SOFTWARE AG",285,285,1.14736842105263,2.2140350877193,1,327,0.643370834853033,"exact"
"Dell Technologies Inc","3571","2018-10-13",NA,"Manufactures electronic computers","United States","SOFTWARE AG/DELL TECHNOLOGIES INC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3341796045,"United States","Americas","Dell Technologies Inc","US","ROUND ROCK",2620,"Controlled subs.",108000,76730485.4670319,79746000,715,1625,402,5.758,3.078,NA,NA,18630807.6906445,0,1,"Very large company","matched","DELL TECHNOLOGY",NA,0,0,0,0,0,0,0,"unmatched"
"Hemp Inc","5159","2018-10-25",NA,"Wholesale hemp products","United States","HEMP INC/2 MANIFEST STUDIO LLC-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,3335718045,"United States","Americas","Hemp Inc","US","LITTLETON, COLORADO",7490,"GUO",NA,41576.9935089807,44346,5,0,3,-12.362,0,NA,NA,28934.9473159735,1,0,"Very large company","matched","HEMP","HEMP CORPORATION",1,1,1,5,1,1,1,"fuzzy"
"2 Manifest Studio Llc","3571","2018-10-25",NA,"Electronic Computer Manufacturing","United States","HEMP INC/2 MANIFEST STUDIO LLC-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,3335718045,"United States","Americas","2 Manifest Studio Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","2 MANIFEST STUDIO",NA,0,0,0,0,0,0,0,"unmatched"
"ESB","5146","2018-11-21",NA,"Wholesale fish products","Ireland-Rep","ESB/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3341970045,"Ireland-Rep","Europe","ESB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","ESB",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2018-11-21",NA,"Manufacture computer products","United States","ESB/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3341970045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Tim Brasil Servicos","4813","2018-12-03",NA,"Wired Telecommunications Carriers","Brazil","TIM BRASIL SERVICOS E PARTICIPACOES SA/INTERNATIONAL BUSINESS-STRATEGIC~ALLIANCE",7372,"Brazil","Completed/Signed","Strategic Alliance",NA,3340021045,"Brazil","Americas","Tim Brasil Servicos","BR","RIO DE JANEIRO",6420,"Controlled subs.",3,10400348.991748,11492390.7935254,64,2,1,4.352,NA,NA,NA,1283827.64574204,0,1,"Very large company","matched","TIM BRASIL SERVICOS",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2018-12-03",NA,"Manufacture computer products","United States","TIM BRASIL SERVICOS E PARTICIPACOES SA/INTERNATIONAL BUSINESS-STRATEGIC~ALLIANCE",7372,"Brazil","Completed/Signed","Strategic Alliance",NA,3340021045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Venturi Formula E Team","7948","2018-12-05",NA,"Other Spectator Sports","Monaco","VENTURI FORMULA E TEAM/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE",8741,"","Completed/Signed","Strategic Alliance",NA,3334794045,"Monaco","Europe","Venturi Formula E Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","VENTURI FORMULA E TEAM",NA,0,0,0,0,0,0,0,"unmatched"
"Hewlett Packard Enterprise Co","3571","2018-12-05",NA,"Manufactures electronic computers","United States","VENTURI FORMULA E TEAM/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE",8741,"","Completed/Signed","Strategic Alliance",NA,3334794045,"United States","Americas","Hewlett Packard Enterprise Co",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","HEWLETT PACKARD ENTERPRISE ","HEWLETT PACKARD ENTERPRISE COMPANY",2,2,1,2,1,2,1,"exact"
"Santander Consumer Bank Sa","6000","2018-12-06",NA,"Bank (non-US)","Poland","SANTANDER CONSUMER BANK SA/APPLE INC-STRATEGIC ALLIANCE",6000,"Denmark","Completed/Signed","Strategic Alliance",NA,3339343045,"Poland","Europe","Santander Consumer Bank Sa","PL","WROCLAW",6419,"Controlled subs.",NA,5274949.87556165,5480143.00399777,1036,3,2,0.2,NA,NA,NA,NA,0,1,"Very large company","matched","SANTANDER CONSUMER BANK",NA,0,0,0,0,0,0,0,"unmatched"
"Apple Inc","3571","2018-12-06",NA,"Electronic Computer Manufacturing","United States","SANTANDER CONSUMER BANK SA/APPLE INC-STRATEGIC ALLIANCE",6000,"Denmark","Completed/Signed","Strategic Alliance",NA,3339343045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
