"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"IBM Corp","3571","2015-10-14","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/21VIANET GROUP INC-STRATEGIC ALLIANCE","7371","China","Completed/Signed","Strategic Alliance",NA,3033394045,"United States","Americas"
"21Vianet Group Inc","7374","2015-10-14","","Data Processing, Hosting, and Related Services","China","INTERNATIONAL BUSINESS/21VIANET GROUP INC-STRATEGIC ALLIANCE","7371","China","Completed/Signed","Strategic Alliance",NA,3033394045,"China","Asia"
"HP Inc","3571","2016-06-09","","Electronic Computer Manufacturing","United States","HP INC/DOCKER INC-STRATEGIC ALLIANCE","8731","Supranational","Completed/Signed","Strategic Alliance",NA,2973437045,"United States","Americas"
"Docker Inc","7372","2016-06-09","","Software Publishers","United States","HP INC/DOCKER INC-STRATEGIC ALLIANCE","8731","Supranational","Completed/Signed","Strategic Alliance",NA,2973437045,"United States","Americas"
"IBM Corp","3571","2016-07-19","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/COMPUTER SCIENCES CORP-STRATEGIC ALLIANCE","7389","United States","Completed/Signed","Strategic Alliance",NA,2988583045,"United States","Americas"
"Computer Sciences Corp","7373","2016-07-19","","Provide information technology services","United States","INTERNATIONAL BUSINESS/COMPUTER SCIENCES CORP-STRATEGIC ALLIANCE","7389","United States","Completed/Signed","Strategic Alliance",NA,2988583045,"United States","Americas"
"IBM Corp","3571","2016-07-25","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/ITC INFOTECH INDIA LTD-STRATEGIC ALLIANCE","7372","India","Completed/Signed","Strategic Alliance",NA,3006112045,"United States","Americas"
"ITC Infotech India Ltd(ITC)","7372","2016-07-25","","Dvlp software","India","INTERNATIONAL BUSINESS/ITC INFOTECH INDIA LTD-STRATEGIC ALLIANCE","7372","India","Completed/Signed","Strategic Alliance",NA,3006112045,"India","Asia"
"Tekes","6726","2016-09-14","","Business Development Company","Finland","TEKES/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","8099","Fiji","Completed/Signed","Strategic Alliance",NA,3010654045,"Finland","Europe"
"IBM Corp","3571","2016-09-14","","Manufacture computer products","United States","TEKES/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","8099","Fiji","Completed/Signed","Strategic Alliance",NA,3010654045,"United States","Americas"
"Hewlett Packard Enterprise Co","3571","2016-09-29","","Manufactures electronic computers","United States","HEWLETT PACKARD ENTERPRISE CO/SHAPE SECURITY-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3035371045,"United States","Americas"
"Shape Security Inc","7372","2016-09-29","","Develop mobile apps software","United States","HEWLETT PACKARD ENTERPRISE CO/SHAPE SECURITY-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3035371045,"United States","Americas"
"IBM Corp","3571","2016-10-13","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/LOS ANGELES FOOTBALL CLUB-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3019019045,"United States","Americas"
"Los Angeles Football Club","7941","2016-10-13","","Sports Teams and Clubs","United States","INTERNATIONAL BUSINESS/LOS ANGELES FOOTBALL CLUB-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3019019045,"United States","Americas"
"IBM Corp","3571","2016-10-19","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/INDIAN ANGEL NETWORK SERVICES-STRATEGIC ALLIANCE","7373","India","Completed/Signed","Strategic Alliance",NA,3033368045,"United States","Americas"
"Indian Angel Net Servc Pvt Ltd","6799","2016-10-19","","Venture capital firm","India","INTERNATIONAL BUSINESS/INDIAN ANGEL NETWORK SERVICES-STRATEGIC ALLIANCE","7373","India","Completed/Signed","Strategic Alliance",NA,3033368045,"India","Asia"
"Fitbit Inc","3571","2016-11-01","","Manufactures fitness activity products","United States","FITBIT INC/VIRGIN PULSE INC-STRATEGIC ALLIANCE","8099","United States","Completed/Signed","Strategic Alliance",NA,3030812045,"United States","Americas"
"Virgin Pulse Inc","7372","2016-11-01","","Software Publishers","United States","FITBIT INC/VIRGIN PULSE INC-STRATEGIC ALLIANCE","8099","United States","Completed/Signed","Strategic Alliance",NA,3030812045,"United States","Americas"
"Medtronic PLC","3845","2016-12-07","","Manufactures and wholesales medical and surgical devices","Ireland-Rep","MEDTRONIC PLC/FITBIT INC-STRATEGIC ALLIANCE","8099","United States","Completed/Signed","Strategic Alliance",NA,3046706045,"Ireland-Rep","Europe"
"Fitbit Inc","3571","2016-12-07","","Manufactures fitness activity products","United States","MEDTRONIC PLC/FITBIT INC-STRATEGIC ALLIANCE","8099","United States","Completed/Signed","Strategic Alliance",NA,3046706045,"United States","Americas"
"ResponseTek Networks Corp","7372","2016-12-13","","Develop software","United States","RESPONSETEK NETWORKS CORP/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3048888045,"United States","Americas"
"IBM Corp","3571","2016-12-13","","Manufacture computer products","United States","RESPONSETEK NETWORKS CORP/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3048888045,"United States","Americas"
"InterDigital Inc","3663","2016-12-15","","Manufacture wireless radio systems","United States","INTERDIGITAL INC PA/APPLE INC-STRATEGIC ALLIANCE","4899","United States","Completed/Signed","Strategic Alliance",NA,3050392045,"United States","Americas"
"Apple Inc","3571","2016-12-15","","Electronic Computer Manufacturing","United States","INTERDIGITAL INC PA/APPLE INC-STRATEGIC ALLIANCE","4899","United States","Completed/Signed","Strategic Alliance",NA,3050392045,"United States","Americas"
