"participants_std","company_name","total_applications","granted_patents","employees_last_value","total_assets_eur","total_assets_usd","n_shareholders","n_subsidiaries","n_companies_group","country_iso","is_guo","is_controlled_sub","roa","rd_ratio","long_term_debt","size_classification","tech_specialist_hhi","avg_ipc_scope","grant_success_rate","n_deals","orbis_match_type","patent_match_type","partner_size_diversity","n_partners","avg_partner_size","max_partner_size","min_partner_size","degree","betweenness","closeness","eigenvector","n_total_deals","n_cross_continental_deals","cross_continental_share","n_continents_reached","partner_size_diversity_sq","ln_employees","ln_total_assets","ln_avg_partner_size","ln_long_term_debt","alliance_experience","tech_specialization","ln_subsidiaries","ln_shareholders","roa_clean","rd_ratio_clean"
"COMPETITIVE TECHNOLOGY","Competitive Technologies Inc",8,8,7,3684.86066040685,3884.21,12,1,2,"US",1,0,-98.569,NA,0,"Medium sized company",0.3125,1,1,1,"matched","exact",0,1,40,40,40,1,0,1,3.8521596646295e-18,1,0,0,1,0,2.07944154167984,8.21225933512969,3.71357206670431,0,1,0.3125,0.693147180559945,2.56494935746154,-98.569,0
"COMPUTER SCIENCE ","Computer Sciences Corp",85,85,60000,8103075.3785878,8663000,1,84,633,"US",0,1,-1.42,0,2081189.27823593,"Very large company",0.887335640138408,1,1,1,"matched","exact",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,11.002116507732,15.9077543473626,12.5892955530015,14.5484505371573,1,0.887335640138408,4.44265125649032,0.693147180559945,-1.42,0
"CONCUR TECHNOLOGY","Concur Technologies Inc",13,13,4900,1506906.06417615,1896140,2,37,479,"US",0,1,-6.239,12.435,319788.586899617,"Very large company",0.86734693877551,1.07692307692308,1,1,"matched","exact",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,8.49719454490955,14.2255698062817,12.5892955530015,12.6754185175624,1,0.86734693877551,3.63758615972639,1.09861228866811,-6.239,12.435
"CONTINENTAL","Continental AG",226,226,190159,36966000,38403960.4289532,110,465,498,"DE",1,0,3.16,9.827,4112000,"Very large company",0.351508916323731,0.955752212389381,1,1,"matched","exact",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,1,1,1,0,12.1556211020341,17.4255091562766,12.5892955530015,15.2294203293078,1,0.351508916323731,6.14418563412565,4.70953020131233,3.16,9.827
"CORE AVIONICS & INDUSTRIAL","Core Avionics & Industrial Inc",0,0,6,NA,NA,1,1,5,"US",0,1,NA,NA,NA,"Large company",0,0,0,1,"matched","unmatched",0,1,7,7,7,1,0,0.666666666666667,7.93127148550548e-18,1,0,0,1,0,1.94591014905531,0,2.07944154167984,0,1,0,0.693147180559945,0.693147180559945,0,0
"CRAY","Cray Inc",1,1,1287,451643.440536198,517132,1,23,377,"US",0,1,-13.861,25.26,0,"Very large company",0.5,2,1,4,"matched","exact",1.72820819809426,4,37636.6666666667,112743,63,4,0.00017023691303731,1,2.53591151159104e-17,4,1,0.25,1,2.98670357596022,7.1608459066643,13.0206505132721,10.5357606009879,0,4,0.5,3.17805383034795,0.693147180559945,-13.861,25.26
"DEDICATED COMPUTING","Dedicated Computing LLC",0,0,3,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Small company",0,0,0,1,"matched","unmatched",0,1,5,5,5,1,0,1,5.89988737987591e-18,1,0,0,1,0,1.38629436111989,0,1.79175946922805,0,1,0,0,0,0,0
"DELL","Dell Inc",5,5,111300,35084870.3548407,47540000,1,311,715,"US",0,1,4.989,1.883,3868634.63189052,"Very large company",0.555555555555556,1.2,1,11,"matched","exact",2.80595916331898,12,19109.4444444444,162000,1,12,0.00184423322457086,1,1.19201939405239e-16,11,6,0.545454545454545,1,7.87340682621372,11.6199935219492,17.3732805799906,9.85799029412999,15.1684124529465,11,0.555555555555556,5.74300318780948,0.693147180559945,4.989,1.883
"DLT SOLUTIONS","DLT Solutions LLC",0,0,4,NA,NA,0,1,2,"US",1,0,NA,NA,NA,"Small company",0,0,0,1,"matched","unmatched",0,1,15,15,15,1,0,1,5.78314015918424e-18,1,0,0,1,0,1.6094379124341,0,2.77258872223978,0,1,0,0.693147180559945,0,0,0
"DOCKER","Docker Inc",0,0,70,NA,NA,14,9,13,"US",1,0,NA,NA,NA,"Very large company",0,0,0,1,"matched","unmatched",0,1,58000,58000,58000,1,0,0.32967032967033,2.24666764457662e-17,1,0,0,1,0,4.26267987704132,0,10.9682155307592,0,1,0,2.30258509299405,2.70805020110221,0,0
"DROPBOX","Dropbox Inc",1007,1011,2204,3200694.45513046,3325200,168,25,28,"US",0,1,13.602,35.904,2452595.17372561,"Very large company",0.518056027406201,1.52917903066271,1.00397219463754,1,"matched","exact",0,1,111300,111300,111300,1,0,0.521739130434783,1.8673836510686e-17,1,0,0,1,0,7.69848278788095,14.9788786738855,11.6199935219492,14.7126576842198,1,0.518056027406201,3.25809653802148,5.12989871492307,13.602,35.904
"EVERNYM","Evernym Inc",2,2,5,NA,NA,1,0,175,"US",0,1,NA,NA,NA,"Small company",0.555555555555556,1.5,1,1,"matched","exact",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,1.79175946922805,0,12.5892955530015,0,1,0.555555555555556,0,0.693147180559945,0,0
"EXTREME NETWORKS","Extreme Networks Inc",349,349,2811,983974.060041589,1153218,388,47,37,"US",1,0,-0.647,19.425,139696.197081774,"Very large company",0.590121531645256,1.15186246418338,1,1,"matched","exact",0,1,1100,1100,1100,1,0,1,7.71418999992144e-18,1,0,0,1,0,7.94165125293056,13.799355830227,7.00397413672268,11.8472324812054,1,0.590121531645256,3.87120101090789,5.96357934361845,-0.647,19.425
"FACETEC","Facetec Inc",22,22,12,NA,NA,1,0,0,"US",0,0,NA,NA,NA,"Medium sized company",0.501543209876543,1.63636363636364,1,1,"matched","exact",0,1,175,175,175,1,0,1,4.63303779399577e-18,1,0,0,1,0,2.56494935746154,0,5.17048399503815,0,1,0.501543209876543,0,0.693147180559945,0,0
"FANDEX","Fandex Inc",2,2,3,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Small company",1,1,1,1,"matched","exact",0,1,4,4,4,1,0,0.666666666666667,7.3937595629949e-18,1,0,0,1,0,1.38629436111989,0,1.6094379124341,0,1,1,0,0,0,0
"FITBIT","Fitbit Inc",509,510,1684,1217808.59725623,1368086,3,8,605,"US",0,1,-23.442,20.934,0,"Very large company",0.340093285835044,1.42745098039216,1.00196463654224,4,"matched","exact",1.37849680373228,4,33260,65680,840,4,0.00017023691303731,1,3.12564544232373e-17,4,2,0.5,1,1.90025343790012,7.42952084278646,14.0125643909403,10.4121408184405,0,4,0.340093285835044,2.19722457733622,1.38629436111989,-23.442,20.934
"FORTINET","Fortinet Inc",873,873,14138,9397540.00808498,9763100,1676,86,92,"US",1,0,17.875,12.035,957070.400798814,"Very large company",0.525532248624767,1.37800687285223,1,1,"matched","exact",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,9.55669221559184,16.0559586181337,12.5892955530015,13.7716332766372,1,0.525532248624767,4.46590811865458,7.42476176182321,17.875,12.035
