Company name,Orbis name
"Nanchang Innotech Homesmart, China","NANCHANG INNOTECH HOMESMART CO., LTD."
"Liquidstack, United States",LIQUIDSTACK INC
"Wiwynn Corp, Taiwan",WIWYNN CORPORATION
"InnoDisk Corp, Taiwan",INNODISK CORP.
"Avalue Technology Inc, Taiwan",AVALUE TECHNOLOGY INC.
"Intek Inc, United States",INTEK INC.
"Minerva Group A/S, Denmark",MINERVA GROUP A/S
"Canaan Inc, China",CANAAN INC
"Cathay Tri-Tech Inc, Japan",-
"BANDAI NAMCO Holdings Inc, Japan",BANDAI NAMCO HOLDINGS INC.
"McAfee Corp, United States",MCAFEE CORP.
"Fujitsu Client Computing Ltd, Japan",FUJITSU CLIENT COMPUTING LIMITED
"Agora Inc, United States",AGORA INC
"Hailo Technologies Ltd, Israel",HAILO TECHNOLOGIES LTD
"Mobix Labs Inc, United States","MOBIX LABS, INC."
"Acromax Inc, Taiwan",ACROMAX INC.
"Telit Communications PLC, United Kingdom",TELIT COMMUNICATIONS PLC
"Paxman AB, Sweden",PAXMAN AB
"PT Gekha Karunia Abadi, Indonesia",PT GEKHA KARUNIA ABADI
"Bomanbridge Media, Singapore",BOMANBRIDGE MEDIA PTE. LTD.
"Optiemus Electronics Ltd, India",OPTIEMUS ELECTRONICS LIMITED
"Indkal Technologies Pvt Ltd, India",-
"Calypso AI Corp, United States",CALYPSO AI CORP
