"company_name","degree","betweenness","is_focal","n_deals","cross_continental_deals","n_continents","orbis_name","orbis_match_name","country_iso","city","nace_rev_2_core_code_4_digits_","consolidation_code","last_avail_year","country","address_type","peer_group_size","main_customers","main_distribution_sites","information_provider","information_provider_collection_date","size_class","employees_last_value","current_assets_usd","n_companies_group","entity_type","n_shareholders","n_subsidiaries","roa_net_income","total_assets_eur","total_assets_th_eur_last_avail_value","rnd_over_operating","export_over_operating","long_term_debt_eur","is_guo","num_pat","partner_size_diversity","partner_diversity_sq"
"NISSHO IWAI ",2,0,FALSE,1,0,1,NA,"NISSHO IWAI ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"OKI ELECTRIC INDUSTRY ",12,66,TRUE,12,0.416666666666667,1,"OKI ELECTRIC INDUSTRY ","OKI ELECTRIC INDUSTRY ","JP","MINATO-KU","2630","C2","2024","Japan","Registered address / Incorporation address / Legal address","5158",NA,NA,"World'Vest Base Inc.",NA,"Very large company",13906,1551230.92977237,57,"GUO",33,81,3.037,2542115.88621035,"2542115.8862103499",2.426,NA,381114.800484694,1,2707,1.34624204370962,1.81236764025145
"NTT ME ",1,0,FALSE,1,0,1,"NTT-ME ","NTT-ME ","JP","SHINJUKU KU","7410","U1","2024","Japan","Registered address / Incorporation address / Legal address","74525",NA,"Toshima-Ku","Teikoku",NA,"Very large company",12600,458743.643412832,1314,"Controlled subs.",2,2,2.791,575859.935582721,"575859.93558272102",NA,NA,0,0,0,0,0
"JAPAN TELECOM ",2,0,FALSE,1,0,1,"JAPAN TELECOM ","JAPAN TELECOM ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"NRI DATA SERVICE",8,26,FALSE,2,0,1,NA,"NRI DATA SERVICE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.37707986745561,1.89634896135156
"J-PHONE COMMUNICATION",2,0,FALSE,1,0,1,NA,"J-PHONE COMMUNICATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"ASHOK LEYLAND",1,0,FALSE,1,0,1,"ASHOK LEYLAND","ASHOK LEYLAND","IN","CHENNAI","2920","C1","2024","India","Registered address / Incorporation address / Legal address","5922",NA,NA,"World'Vest Base Inc.",NA,"Very large company",9695,4000897.35635892,107,"Controlled subs.",70,64,3.802,8828645.51746975,"8828645.5174697507",0.327,NA,3950928.92105257,0,0,0,0
"DINGTIAN SCIENCE & TECH",1,0,TRUE,1,1,1,NA,"DINGTIAN SCIENCE & TECH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"ELITEGROUP COMPUTER SYSTEM",3,3,TRUE,3,0.666666666666667,1,"ELITEGROUP COMPUTER SYSTEM ","ELITEGROUP COMPUTER SYSTEM ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.71552379659453,2.9430218966821
"QUANTA COMPUTER",5,7.5,TRUE,4,0.5,1,"QUANTA COMPUTER","QUANTA COMPUTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1723,0.942809041582063,0.888888888888889
"SUPERSCAPE GROUP",2,0,FALSE,1,1,1,NA,"SUPERSCAPE GROUP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0
"TRIGEM COMPUTER",1,0,TRUE,1,0,1,"TRIGEM COMPUTER","TRIGEM COMPUTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0
"MICRO LINEAR ",1,0,FALSE,1,1,1,"MICRO LINEAR ","MICRO LINEAR ","US","SAN JOSE","2611","C1","2005","United States of America","Registered address / Incorporation address / Legal address","20078",NA,NA,"Refinitiv",NA,"Large company",43,15999,84,"Controlled subs.",2,0,-35.693,13923.828099559,"13923.828099558999",49.416,NA,0,0,7,0,0
"TESSERA TECHNOLOGY",1,0,FALSE,1,1,1,"TESSERA TECHNOLOGY","TESSERA TECHNOLOGY","JP","YOKOHAMA SHI NISHI KU","7410","U1","2024","Japan","Registered address / Incorporation address / Legal address","74525","Information technology (IT) dealers, corporate resellers, system integrators of IT equipment, OEM (Original Equipment Manufacturers), and chain stores",NA,"Teikoku",NA,"Medium sized company",56,6231.23022326734,0,"Independent co",0,2,12.734,6068.24953577788,"6068.2495357778798",0,NA,1449.79399144243,0,0,0,0
"SILICON GRAPHICS SYS(INDIA)",2,1,TRUE,2,0,1,NA,"SILICON GRAPHICS SYS(INDIA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"SHENZHEN YIHUA COMPUTER ",1,0,FALSE,1,0,1,"SHENZHEN YIHUA COMPUTER ","SHENZHEN YIHUA COMPUTER ","CN","SHENZHEN","2899","U1","2023","China","Registered address / Incorporation address / Legal address","32020",NA,NA,"3ACredit",NA,"Very large company",3000,0,18,"Controlled subs.",5,9,2.461,700951.374303696,"700951.37430369598",NA,NA,0,0,0,0,0
"FOUNDER TECH GRP CORP ",1,0,TRUE,1,1,1,NA,"FOUNDER TECH GRP CORP ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"ACCESS ",1,0,FALSE,1,0,1,"ACCESS ","ACCESS ","JP","TOKYO","6201","C2","2024","Japan","Registered address / Incorporation address / Legal address","117237",NA,NA,"World'Vest Base Inc.",NA,"Very large company",830,111760.944027932,19,"GUO",21,22,-25.006,134226.004171403,"134226.00417140301",20.545,NA,6001.04666331793,1,0,0,0
"CIPHERLAB ",3,2,TRUE,2,1,1,"CIPHERLAB ","CIPHERLAB ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.0487659849094171,0.00237812128418549
"HIGH TECH COMPUTER ",1,0,TRUE,1,1,1,"HTC ","HTC ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,0,0
