SDC_data,ORBIS_data
"ipoque GmbH, Germany",IPOQUE GMBH
"Cardinality Ltd, United Kingdom",ELISA POLYSTAR UK LTD
"Fujitsu Ltd, Japan",FUJITSU LIMITED
"De Lage Landen Intl BV, Netherlands",
"Imagination Tech Grp PLC, United Kingdom",
"Lynk Labs Inc, United States",LYNK LABS INC
"Feit Elec Co Inc, United States",
"RealD Inc, United States",REALD INC
"Zenuity AB, Sweden",ZENUITY AB
"Broadcom Inc, United States",BROADCOM INC.
"ImmersiveTouch Inc, United States",IMMERSIVETOUCH INC
"Google LLC, United States",GOOGLE LLC
"Mediakind Inc, United States",MEDIAKIND INC.
"SendtoNews Video Inc, Canada",
"Sportsgrid Inc, United States",SPORTSGRID INC
"Neurologylive, United States",
"Cure Sma, United States",CURE SMA
"Oechsler AG, Germany",OECHSLER AG
"Anaconda Inc, United States","ANACONDA, INC."
"SAP SE, Germany",SAP SE
"Aeltc Grp, United Kingdom",
"Mitek Systems Inc, United States","MITEK SYSTEMS, INC."
"Kys-Tech, United States","KYS-TECH, INC."
"Abaco Systems Inc, United States",ABACO SYSTEMS INC
"Redarc Electronics Pty Ltd, Australia",REDARC ELECTRONICS PTY LTD
"Metamaterial Inc, Canada",METAMATERIAL INC
"ADI Technologies Inc, United States",ADI TECHNOLOGIES INC.
"ARHT Media Inc, Canada",ARHT MEDIA INC
"Tlc Creative, United States","TLC CREATIVE SPECIAL EFFECTS, INC."
"Super Micro Computer Inc, United States","SUPER MICRO COMPUTER, INC."
"Scality Inc, United States","SCALITY, INC."
"Players Media Grp, United States",
"Reachtv, United States",REACHTV
"SteelCloud inc, United States",STEELCLOUD INC
"DLT Solutions LLC, United States",DLT SOLUTIONS LLC
"Fortinet Inc, United States","FORTINET, INC."
"Compaq Computer Corp(Hewlett), United States",HEWLETT-PACKARD CO
"Flipkart Internet Pvt Ltd, India",
"Ta Digital Solutions Inc, United States",
"PMSquare Pty Ltd, Australia",
"Lumina Analytics LLC, United States","LUMINA ANALYTICS, LLC"
"Commercetools GmbH, Germany",COMMERCETOOLS GMBH
"PlayAGS Inc, United States","PLAYAGS, INC."
"Betmgm LLC, United States","BETMGM, LLC"
"Orange Belgium SA, Belgium",ORANGE BELGIUM S.A
"Telefonaktiebolaget LM, Sweden",TELEFONAKTIEBOLAGET LM ERICSSON
"Alabama State University, United States",ALABAMA STATE UNIVERSITY
"Telekom Austria AG, Austria",TELEKOM AUSTRIA AG
"Ultra 4k Extreme Llc, United States",
"Nuheara Ltd, Australia",NUHEARA LIMITED
"Hyundai Motor Co, South Korea",HYUNDAI MOTOR COMPANY
"X-Tend Robotics Inc, United States",X-TEND ROBOTICS INC
"Puls-Or Ltd, United States",
"Taiwan Semiconductor Mnfg Co, Taiwan",
"Fandex Inc, United States","FANDEX, INC."
"SOLIZE Corp, Japan",SOLIZE HOLDINGS CORPORATION
"Cleveland Clinic Foundation, United States",CLEVELAND CLINIC FOUNDATION
"Red Hat Inc, United States",RED HAT INC
"Celonis Inc, United States","CELONIS, INC."
"Core Avionics & Industrial Inc, United States",CORE AVIONICS & INDUSTRIAL INC
"Blackberry Ltd, Canada",BLACKBERRY LIMITED
"Med Tech Solutions, United States","MED TECH SOLUTIONS, LLC"
"Lifars Llc, United States",LIFARS LLC
"Avertium, United States","AVERTIUM, LLC"
"Saudi Payments, Saudi Arabia",
"Mastercard Inc, United States",MASTERCARD INC
"Wrights Media, United States","DARE WRIGHT MEDIA, LLC"
"The Knot Worldwide Inc, United States",THE KNOT WORLDWIDE INC.
"Veritran, Argentina",VERITRAN S. A. U.
"Facetec Inc, United States","FACETEC, INC."
"DataRobot Inc, United States","DATAROBOT, INC."
"Hivecell, United States",HIVECELL
"Viking Masek Global Pkg, United States",
"Ias Inc, United States","IAS, INC."
"Computervault Inc, United States","COMPUTERVAULT, INC."
"Persistent Systems Ltd, India",PERSISTENT SYSTEMS LIMITED
"Mobix Labs Inc, United States","MOBIX LABS, INC."
"Acromax Inc, Taiwan",ACROMAX INC.
"VIA optronics AG, Germany",VIA OPTRONICS HOLDING AG
"Sigmasense Llc, United States",SIGMASENSE LLC
"Nutanix Inc, United States","NUTANIX, INC."
"Digi-Key Corp, United States",DIGI-KEY CORP
"Linear Integrated Sys Inc, United States",
"Wow Media Products Inc, United States","WOW MEDIA PRODUCTS, INC."
"World Acceptance Group Corp, United States","WORLD ACCEPTANCE GROUP, CORP."
"Oyen Digital LLC, United States",OYEN DIGITAL LLC
"Libre Wireless Tech Inc, United States",
"Legend 3d Inc, United States",LEGEND 3D INC.
"Impression Vfx Inc, United States",IMPRESSION VFX INC
